"Package","Version"
"kableExtra","1.3.4"
"tictoc","1.0.1"
"furrr","0.2.3"
"future","1.28.0"
"purrr","0.3.5"
"broom.mixed","0.2.9.4"
"lme4","1.1-30"
"Matrix","1.4-0"
"dplyr","1.0.8"
"tidyr","1.2.0"
"tibble","3.1.8"
"nycflights13","1.0.2"
"Rcpp","1.0.9"
"svglite","2.1.0"
"lattice","0.20-45"
"listenv","0.8.0"
"digest","0.6.30"
"utf8","1.2.2"
"parallelly","1.32.1"
"R6","2.5.1"
"backports","1.4.1"
"evaluate","0.17"
"httr","1.4.4"
"highr","0.9"
"pillar","1.8.1"
"rlang","1.0.6"
"rstudioapi","0.14"
"minqa","1.2.5"
"nloptr","2.0.3"
"jquerylib","0.1.4"
"rmarkdown","2.17"
"splines","4.1.3"
"webshot","0.5.4"
"stringr","1.4.1"
"munsell","0.5.0"
"broom","1.0.1"
"compiler","4.1.3"
"xfun","0.34"
"pkgconfig","2.0.3"
"systemfonts","1.0.4"
"globals","0.16.1"
"htmltools","0.5.3"
"tidyselect","1.2.0"
"codetools","0.2-18"
"fansi","1.0.3"
"viridisLite","0.4.1"
"withr","2.5.0"
"MASS","7.3-55"
"grid","4.1.3"
"nlme","3.1-155"
"jsonlite","1.8.2"
"lifecycle","1.0.3"
"pacman","0.5.1"
"magrittr","2.0.3"
"scales","1.2.1"
"cachem","1.0.6"
"cli","3.4.1"
"stringi","1.7.8"
"xml2","1.3.3"
"bslib","0.4.0"
"ellipsis","0.3.2"
"generics","0.1.3"
"vctrs","0.4.2"
"boot","1.3-28"
"tools","4.1.3"
"forcats","0.5.2"
"glue","1.6.2"
"parallel","4.1.3"
"fastmap","1.1.0"
"yaml","2.3.6"
"colorspace","2.0-3"
"rvest","1.0.3"
"knitr","1.40"
"sass","0.4.2"
